school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
TATD012015,https://www.donmilanipertini.edu.it,5215,1587,4601,301,8,9.0,3.0,0.0,4.0,1.8,1.96,2.18,6.5,3.19,6.5,6.5,1.96
CBPS02201P,https://www.iissalfano.edu.it,1883,1587,5156,278,8,1.0,1.0,0.0,4.5,5.11,3.79,5.1,5.72,3.71,3.38,4.41,3.78
NATH086011,https://www.ninobixio.com,2442,1587,3711,333,7,9.0,1.0,2.0,4.5,2.32,3.73,2.53,3.0,6.44,6.5,6.5,2.68
METD110001,https://www.itcgsantagata.it,7503,1587,3859,367,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.31,6.5,9.32,4.93,2.79
LITD030003,https://www.itcgcerboni.edu.it,1256,1587,4181,377,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.31,6.5,10.05,4.93,2.79
PVRI00201L,https://www.caramuelroncalli.it,2585,1587,4911,255,7,8.0,1.0,7.0,3.6,3.11,2.46,3.1,3.49,6.5,6.5,6.03,2.46
PSTD00601R,https://www.istitutodonati.edu.it,2743,1587,7153,302,7,8.0,1.0,9.0,3.5,6.5,2.09,2.66,3.01,6.5,6.5,11.43,2.09
VRTD01601B,https://www.calabreselevi.edu.it,1373,1587,3519,204,7,8.0,1.0,15.0,3.3,3.12,2.46,3.11,3.52,6.5,6.5,6.5,2.46
BAPS04000Q,https://www.liceofermicanosa.edu.it,1858,1587,4152,248,7,5.0,1.0,2.0,4.4,4.59,2.47,3.13,7.81,6.5,8.79,5.23,2.47
BARC054017,https://www.orianitandoi.edu.it,2128,1587,3708,354,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.31,6.5,9.01,4.86,2.79
NATD11601T,https://www.isisrosmini.edu.it,3031,1587,5176,292,6,9.0,3.0,9.0,3.5,2.63,7.25,1.0,6.41,7.23,1.06,6.5,6.5
