school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
CZPC030008,https://www.liceofiorentino.edu.it,1089,1587,3929,303,9,9.0,3.0,0.0,4.2,6.5,1.81,3.1,2.81,6.5,6.5,8.62,3.24
CLPS01901X,https://www.LICEOSCIENTIFICOVOLTA.edu.it,1547,1587,4960,118,5,9.0,3.0,28.0,3.3,1.99,1.73,2.59,3.65,2.3,6.5,10.89,2.72
RMRC10201G,https://www.iispertinifalcone.edu.it,5534,1587,4866,260,7,8.0,1.0,8.0,3.6,3.11,2.46,3.1,3.5,6.5,6.5,4.45,2.46
BIPS01000N,https://www.liceoavogadrobiella.edu.it,2981,1587,9262,559,8,9.0,2.0,28.0,2.8,5.79,7.0,4.17,18.29,3.88,3.96,7.0,0.33
LEPC01000G,https://liceocapece.edu.it/,758,1587,3442,258,7,5.0,1.0,0.0,4.5,2.89,2.58,2.89,3.09,6.5,4.64,4.56,2.58
NAPC010002,https://www.liceogenovesi.edu.it,1629,1587,4465,590,7,7.0,1.0,7.0,4.0,3.12,2.28,3.12,3.62,7.0,3.29,7.0,2.28
VASL01000A,https://www.artisticobusto.edu.it,2791,1587,3998,237,4,9.0,3.0,0.0,4.7,1.47,6.5,1.99,6.5,1.62,4.29,0.92,1.41
ALTD00601X,https://www.vincialessandria.it,2373,1587,3838,181,7,8.0,1.0,6.0,3.7,6.5,6.5,2.5,7.51,2.82,6.5,6.5,2.82
AQSD01201N,https://www.torloniabellisario.it,1655,1587,3554,356,7,5.0,1.0,3.0,4.0,3.1,2.79,3.1,3.31,6.5,8.71,4.96,2.79
CTTB01000A,https://www.itaerferrarin.edu.it/pasw4/,2244,1587,16506,560,5,3.0,3.0,15.0,3.1,2.59,3.16,15.75,18.94,3.29,36.43,7.0,0.75
RCSL030003,https://www.liceopretifrangipane.edu.it,631,1587,4267,298,7,5.0,1.0,0.0,4.5,2.89,2.58,2.89,3.08,6.5,9.41,5.06,2.58
LEPS00201R,https://www.trinchesemartano.edu.it/,3208,1587,5435,274,7,8.0,1.0,5.0,3.7,2.62,2.09,2.61,2.97,6.5,6.5,10.44,2.09
BIPC00101R,https://www.liceosella.it,1988,1587,3210,271,7,8.0,1.0,8.0,3.5,6.5,6.5,3.27,4.39,3.04,6.5,3.4,3.41
TRRI002012,https://www.iisacp.edu.it,4543,1587,3293,953,11,9.0,1.0,13.0,3.8,2.62,2.27,9.72,3.25,3.59,7.0,7.0,3.14
ORTF02000D,https://www.itisothoca.edu.it,2538,1587,12488,551,5,9.0,1.0,6.0,3.4,1.15,2.85,3.08,1.98,2.32,7.0,7.0,2.78
RAPS030001,https://www.liceolugo.edu.it,879,1587,4300,339,8,9.0,2.0,0.0,4.4,3.7,6.45,7.31,6.85,3.94,7.51,6.49,3.66
AVPS024019,https://www.isissdeluca.edu.it,1636,1587,2609,234,7,7.0,1.0,4.0,4.3,53.66,53.17,54.53,6.5,53.57,7.64,54.32,6.5
